,flightNum,,org,,dest,dep_time in sec from midnight,arr_time in sec from midnight,day,fleet,tail,,,flight time,turn time,distance_mile
1,860,0,SNA,0,MSP,35100,48180,17,A319,N301NB,1,0,218,2460,1319
2,1780,0,MSP,0,CLT,50640,59100,17,A319,N301NB,0,0,141,2400,806
3,1780,0,CLT,0,MSP,61500,71160,17,A319,N301NB,0,0,161,3540,806
4,864,0,MSP,0,MSN,74700,78060,17,A319,N301NB,0,1,56,0,197
5,992,0,MSN,0,DTW,28800,33360,17,A319,N302NB,1,0,76,3240,269
6,1238,0,DTW,0,RDU,36600,42420,17,A319,N302NB,0,0,97,2880,435
7,1238,0,RDU,0,DTW,45300,51600,17,A319,N302NB,0,0,105,3660,435
8,1144,0,DTW,0,DCA,55260,60780,17,A319,N302NB,0,0,92,2100,351
9,2045,0,DCA,0,DTW,62880,68700,17,A319,N302NB,0,0,97,2400,351
10,1161,0,DTW,0,EWR,71100,77220,17,A319,N302NB,0,1,102,0,422
11,2395,0,LGA,0,PBI,29100,39720,17,A319,N314NB,1,0,177,2400,899
12,2395,0,PBI,0,LGA,42120,52140,17,A319,N314NB,0,0,167,2760,899
13,1705,0,LGA,0,MSY,54900,67320,17,A319,N314NB,0,0,207,2880,1026
14,1311,0,MSY,0,LGA,70200,81000,17,A319,N314NB,0,1,180,0,1026
15,1407,0,BIL,0,MSP,30840,37620,17,A319,N315NB,1,0,113,2580,647
16,2182,0,MSP,0,MCI,40200,45000,17,A319,N315NB,0,0,80,2520,341
17,2182,0,MCI,0,MSP,47520,52260,17,A319,N315NB,0,0,79,5640,341
18,1377,0,MSP,0,ORD,57900,63000,17,A319,N315NB,0,0,85,2100,289
19,1717,0,ORD,0,MSP,65100,70140,17,A319,N315NB,0,0,84,4260,289
20,985,0,MSP,0,DLH,74400,77400,17,A319,N315NB,0,1,50,0,125
21,2003,0,LGA,0,MIA,25500,36840,17,A319,N316NB,1,0,189,2160,953
22,2003,0,MIA,0,LGA,39000,49740,17,A319,N316NB,0,0,179,2400,953
23,1685,0,LGA,0,MCO,52140,62640,17,A319,N316NB,0,0,175,3360,825
24,1776,0,MCO,0,LGA,66000,75600,17,A319,N316NB,0,1,160,0,825
25,1359,0,DTW,0,BDL,31560,37620,17,A319,N317NB,1,0,101,2580,474
26,1359,0,BDL,0,DTW,40200,46860,17,A319,N317NB,0,0,111,3660,474
27,2274,0,DTW,0,RDU,50520,56580,17,A319,N317NB,0,0,101,3420,435
28,2274,0,RDU,0,DTW,60000,66720,17,A319,N317NB,0,0,112,5580,435
29,1343,0,DTW,0,BUF,72300,76440,17,A319,N317NB,0,1,69,0,208
30,975,0,ATL,0,PIT,26700,32460,17,A319,N318NB,1,0,96,2400,457
31,975,0,PIT,0,ATL,34860,40800,17,A319,N318NB,0,0,99,3000,457
32,1569,0,ATL,0,GSO,43800,48240,17,A319,N318NB,0,0,74,2700,265
33,1569,0,GSO,0,ATL,50940,56100,17,A319,N318NB,0,0,86,3300,265
34,1870,0,ATL,0,BTR,59400,65100,17,A319,N318NB,0,0,95,2100,388
35,1870,0,BTR,0,ATL,67200,72840,17,A319,N318NB,0,0,94,2400,388
36,2214,0,ATL,0,ROA,75240,80640,17,A319,N318NB,0,1,90,0,310
37,2280,0,LGA,0,TPA,29700,40020,17,A319,N319NB,1,0,172,2220,878
38,2280,0,TPA,0,LGA,42240,51900,17,A319,N319NB,0,0,161,2700,878
39,2498,0,LGA,0,TPA,54600,65820,17,A319,N319NB,0,0,187,2880,878
40,2499,0,TPA,0,LGA,68700,78360,17,A319,N319NB,0,1,161,0,878
41,2601,0,MSP,0,BDL,40500,49620,17,A319,N320NB,1,0,152,2580,909
42,2336,0,BDL,0,MSP,52200,62520,17,A319,N320NB,0,0,172,10680,909
43,2377,0,MSP,0,STL,73200,78120,17,A319,N320NB,0,1,82,0,389
44,2031,0,MDW,0,ATL,30060,36840,17,A319,N321NB,1,0,113,2760,513
45,1471,0,ATL,0,LIT,39600,45180,17,A319,N321NB,0,0,93,2520,391
46,1471,0,LIT,0,ATL,47700,53100,17,A319,N321NB,0,0,90,3000,391
47,333,0,ATL,0,CVG,56100,61560,17,A319,N321NB,0,0,91,2400,324
48,2455,0,CVG,0,ATL,63960,69420,17,A319,N321NB,0,0,91,2400,324
49,2504,0,ATL,0,HSV,71820,75300,17,A319,N321NB,0,1,58,0,130
50,1615,0,MEM,0,SLC,32400,44220,17,A319,N322NB,1,0,197,4380,1093
51,2550,0,SLC,0,SNA,48600,55320,17,A319,N322NB,0,0,112,2280,510
52,820,0,SNA,0,MSP,57600,69900,17,A319,N322NB,0,0,205,4200,1319
53,1765,0,MSP,0,GRB,74100,77820,17,A319,N322NB,0,1,62,0,218
54,690,0,PBI,0,LGA,25800,35880,17,A319,N323NB,1,0,168,2820,899
55,2463,0,LGA,0,PBI,38700,49440,17,A319,N323NB,0,0,179,3480,899
56,2463,0,PBI,0,LGA,52920,63000,17,A319,N323NB,0,0,168,2700,899
57,1715,0,LGA,0,MSY,65700,78060,17,A319,N323NB,0,1,206,0,1026
58,2077,0,BOS,0,JFK,22500,27000,17,A319,N324NB,1,0,75,2700,161
59,429,0,JFK,0,BOS,29700,34320,17,A319,N324NB,0,0,77,2280,161
60,1342,0,BOS,0,DTW,36600,44160,17,A319,N324NB,0,0,126,2400,547
61,2144,0,DTW,0,STL,46560,52500,17,A319,N324NB,0,0,99,2100,381
62,2145,0,STL,0,DTW,54600,60060,17,A319,N324NB,0,0,91,3240,381
63,1629,0,DTW,0,BNA,63300,68940,17,A319,N324NB,0,0,94,2160,396
64,515,0,BNA,0,ATL,71100,75360,17,A319,N324NB,0,1,71,0,185
65,2648,0,LAS,0,LAX,34200,38220,17,A319,N325NB,1,0,67,2580,204
66,1577,0,LAX,0,MSY,40800,55080,17,A319,N325NB,0,0,238,2220,1446
67,1577,0,MSY,0,LAX,57300,71760,17,A319,N325NB,0,0,241,2340,1446
68,2592,0,LAX,0,MSY,74100,87900,17,A319,N325NB,0,1,230,0,1446
69,2079,0,BOS,0,DTW,20700,28320,17,A319,N326NB,1,0,127,3780,547
70,1782,0,DTW,0,ORD,32100,36720,17,A319,N326NB,0,0,77,5580,202
71,1782,0,ORD,0,DTW,42300,46860,17,A319,N326NB,0,0,76,3660,202
72,1422,0,DTW,0,BDL,50520,56400,17,A319,N326NB,0,0,98,3000,474
73,1422,0,BDL,0,DTW,59400,66120,17,A319,N326NB,0,0,112,4740,474
74,582,0,DTW,0,BOS,70860,77400,17,A319,N326NB,0,1,109,0,547
75,2437,0,DTW,0,BOS,26820,33600,17,A319,N327NB,1,0,113,4200,547
76,2056,0,BOS,0,JFK,37800,41880,17,A319,N327NB,0,0,68,4860,161
77,439,0,JFK,0,BOS,46740,51180,17,A319,N327NB,0,0,74,3420,161
78,2339,0,BOS,0,JFK,54600,59340,17,A319,N327NB,0,0,79,3060,161
79,2466,0,JFK,0,BOS,62400,67980,17,A319,N327NB,0,0,93,3120,161
80,2060,0,BOS,0,JFK,71100,75840,17,A319,N327NB,0,0,79,3060,161
81,459,0,JFK,0,BOS,78900,84180,17,A319,N327NB,0,1,88,0,161
82,2512,0,HSV,0,ATL,28800,32700,17,A319,N328NB,1,0,65,3060,130
83,1066,0,ATL,0,BNA,35760,39900,17,A319,N328NB,0,0,69,2400,185
84,1066,0,BNA,0,ATL,42300,46560,17,A319,N328NB,0,0,71,3240,185
85,1612,0,ATL,0,ORD,49800,56880,17,A319,N328NB,0,0,118,2520,526
86,1677,0,ORD,0,ATL,59400,66420,17,A319,N328NB,0,0,117,2880,526
87,1488,0,ATL,0,AGS,69300,72840,17,A319,N328NB,0,1,59,0,124
88,2358,0,BOS,0,DTW,26100,33720,17,A319,N329NB,1,0,127,3780,547
89,1744,0,DTW,0,DCA,37500,42720,17,A319,N329NB,0,0,87,3780,351
90,1744,0,DCA,0,DTW,46500,51960,17,A319,N329NB,0,0,91,3240,351
91,1409,0,DTW,0,BNA,55200,60900,17,A319,N329NB,0,0,95,2100,396
92,2350,0,BNA,0,DTW,63000,68880,17,A319,N329NB,0,0,98,3420,396
93,2526,0,DTW,0,SAT,72300,83640,17,A319,N329NB,0,1,189,0,1054
94,2130,0,SFO,0,SLC,33000,39960,17,A319,N331NB,1,0,116,2640,518
95,1973,0,SLC,0,MCI,42600,51000,17,A319,N331NB,0,0,140,2100,795
96,1997,0,MCI,0,DTW,53100,59940,17,A319,N331NB,0,0,114,3780,543
97,1622,0,DTW,0,BOS,63720,70800,17,A319,N331NB,0,1,118,0,547
98,2017,0,ONT,0,SLC,33300,39480,17,A319,N332NB,1,0,103,7620,484
99,780,0,SLC,0,BZN,47100,51600,17,A319,N332NB,0,0,75,2400,300
100,780,0,BZN,0,SLC,54000,58560,17,A319,N332NB,0,0,76,2640,300
101,1932,0,SLC,0,DFW,61200,70200,17,A319,N332NB,0,0,150,2700,856
102,2606,0,DFW,0,SLC,72900,82560,17,A319,N332NB,0,0,161,2940,856
103,1959,0,SLC,0,ONT,85500,91620,17,A319,N332NB,0,1,102,0,484
104,726,0,MSY,0,SLC,32100,44520,17,A319,N333NB,1,0,207,3180,1238
105,2106,0,SLC,0,BOI,47700,51540,17,A319,N333NB,0,0,64,2760,251
106,2106,0,BOI,0,SLC,54300,58140,17,A319,N333NB,0,0,64,4260,251
107,710,0,SLC,0,GEG,62400,67980,17,A319,N333NB,0,0,93,2820,473
108,710,0,GEG,0,SLC,70800,76320,17,A319,N333NB,0,0,92,3480,473
109,2402,0,SLC,0,SAT,79800,89340,17,A319,N333NB,0,1,159,0,943
110,2615,0,AGS,0,ATL,23700,27180,17,A319,N334NB,1,0,58,2520,124
111,2441,0,ATL,0,MEM,29700,34380,17,A319,N334NB,0,0,78,2100,286
112,2418,0,MEM,0,ATL,36480,41400,17,A319,N334NB,0,0,82,2700,286
113,2573,0,ATL,0,MDW,44100,50820,17,A319,N334NB,0,0,112,2280,513
114,2573,0,MDW,0,ATL,53100,59880,17,A319,N334NB,0,0,113,3720,513
115,866,0,ATL,0,BNA,63600,67500,17,A319,N334NB,0,0,65,2400,185
116,1348,0,BNA,0,DTW,69900,75600,17,A319,N334NB,0,0,95,2700,396
117,2366,0,DTW,0,BOS,78300,84660,17,A319,N334NB,0,1,106,0,547
118,873,0,JAC,0,SLC,32400,35880,17,A319,N335NB,1,0,58,2520,177
119,2295,0,SLC,0,SAN,38400,45180,17,A319,N335NB,0,0,113,2340,543
120,2295,0,SAN,0,SLC,47520,53940,17,A319,N335NB,0,0,107,3120,543
121,2344,0,SLC,0,IAH,57060,67620,17,A319,N335NB,0,0,176,2880,1036
122,2344,0,IAH,0,SLC,70500,81720,17,A319,N335NB,0,1,187,0,1036
123,2527,0,SAT,0,DTW,29400,40680,17,A319,N336NB,1,0,188,4320,1054
124,1908,0,DTW,0,ORD,45000,49620,17,A319,N336NB,0,0,77,4980,202
125,1908,0,ORD,0,DTW,54600,59460,17,A319,N336NB,0,0,81,3240,202
126,1548,0,DTW,0,LGA,62700,69300,17,A319,N336NB,0,0,110,2700,433
127,1431,0,LGA,0,TPA,72000,83160,17,A319,N336NB,0,1,186,0,878
128,1325,0,MSY,0,LAX,35460,49740,17,A319,N337NB,1,0,238,2100,1446
129,1325,0,LAX,0,MSY,51840,65700,17,A319,N337NB,0,0,231,2100,1446
130,984,0,MSY,0,LAX,67800,82200,17,A319,N337NB,0,0,240,2400,1446
131,920,0,LAX,0,LAS,84600,88980,17,A319,N337NB,0,1,73,0,204
132,1879,0,LGA,0,FLL,25500,36480,17,A319,N338NB,1,0,183,2220,935
